41.77,6
41.77,6
41.77,6
41.77,6
41.77,7
41.77,7
41.77,7
41.77,7
41.77,7
41.77,7
41.77,7
41.77,7
41.77,8
41.77,8
41.77,8
41.77,8
41.77,8
41.77,8
32.56,6
32.56,6
32.56,6
32.56,6
32.56,6
32.56,6
32.56,6
32.56,6
32.56,7
32.56,7
32.56,7
32.56,7
32.56,7
32.56,7
32.56,7
32.56,7
32.56,8
32.56,8
32.56,8
32.56,8
32.56,8
32.56,8
32.56,8
32.56,8
30.62,6
30.62,6
30.62,6
30.62,6
30.62,6
30.62,6
30.62,6
30.62,6
30.62,7
30.62,7
30.62,7
30.62,7
30.62,7
30.62,7
30.62,7
30.62,7
30.62,8
30.62,8
30.62,8
30.62,8
30.62,8
30.62,8
30.62,8
30.62,8
33.37,6
33.37,6
33.37,6
33.37,6
33.37,6
33.37,6
33.37,6
33.37,6
33.37,7
33.37,7
33.37,7
33.37,7
33.37,7
33.37,7
33.37,7
33.37,7
33.37,8
33.37,8
33.37,8
33.37,8
33.37,8
33.37,8
33.37,8
33.37,8
41.34,6
41.34,6
41.34,6
41.34,6
41.34,6
41.34,6
41.34,6
41.34,6
41.34,7
41.34,7
41.34,7
41.34,7
41.34,7
41.34,7
41.34,7
41.34,7
41.34,8
41.34,8
41.34,8
41.34,8
41.34,8
41.34,8
41.34,8
41.34,8
39.09,6
39.09,6
39.09,6
39.09,6
39.09,6
39.09,6
39.09,6
39.09,6
39.09,7
39.09,7
39.09,7
39.09,7
39.09,7
39.09,7
39.09,7
39.09,7
39.09,8
39.09,8
39.09,8
39.09,8
39.09,8
39.09,8
39.09,8
39.09,8
42.7,6
42.7,6
42.7,6
42.7,6
42.7,7
42.7,7
42.7,7
42.7,7
42.7,7
42.7,7
42.7,7
42.7,7
42.7,8
42.7,8
42.7,8
42.7,8
42.7,8
42.7,8
42.7,8
42.7,8
39.54,6
39.54,6
39.54,6
39.54,6
39.54,6
39.54,6
39.54,6
39.54,6
39.54,7
39.54,7
39.54,7
39.54,7
39.54,7
39.54,7
39.54,7
39.54,7
39.54,8
39.54,8
39.54,8
39.54,8
39.54,8
39.54,8
39.54,8
39.54,8
42.75,6
42.75,6
42.75,6
42.75,6
42.75,7
42.75,7
42.75,7
42.75,7
42.75,7
42.75,7
42.75,7
42.75,7
42.75,8
42.75,8
42.75,8
42.75,8
42.75,8
42.75,8
42.75,8
42.75,8
41.72,6
41.72,6
41.72,6
41.72,6
41.72,7
41.72,7
41.72,7
41.72,7
41.72,7
41.72,7
41.72,7
41.72,7
41.72,8
41.72,8
41.72,8
41.72,8
41.72,8
41.72,8
41.72,8
41.72,8
31.52,6
31.52,6
31.52,6
31.52,6
31.52,7
31.52,7
31.52,7
31.52,7
31.52,7
31.52,7
31.52,7
31.52,7
31.52,8
31.52,8
31.52,8
31.52,8
31.52,8
31.52,8
31.52,8
31.52,8
38.04,6
38.04,6
38.04,6
38.04,6
38.04,6
38.04,6
38.04,6
38.04,6
38.04,7
38.04,7
38.04,7
38.04,7
38.04,7
38.04,7
38.04,7
38.04,7
38.04,8
38.04,8
38.04,8
38.04,8
38.04,8
38.04,8
38.04,8
38.04,8
34.14,6
34.14,6
34.14,6
34.14,6
34.14,6
34.14,6
34.14,6
34.14,6
34.14,7
34.14,7
34.14,7
34.14,7
34.14,7
34.14,7
34.14,7
34.14,7
34.14,8
34.14,8
34.14,8
34.14,8
34.14,8
34.14,8
34.14,8
34.14,8
37.4,6
37.4,6
37.4,6
37.4,6
37.4,6
37.4,6
37.4,6
37.4,6
37.4,7
37.4,7
37.4,7
37.4,7
37.4,7
37.4,7
37.4,7
37.4,7
37.4,8
37.4,8
37.4,8
37.4,8
37.4,8
37.4,8
37.4,8
37.4,8
37.45,6
37.45,6
37.45,6
37.45,6
37.45,6
37.45,6
37.45,6
37.45,6
37.45,7
37.45,7
37.45,7
37.45,7
37.45,7
37.45,7
37.45,7
37.45,7
37.45,8
37.45,8
37.45,8
37.45,8
37.45,8
37.45,8
37.45,8
37.45,8
